gene	count
ENSGGOG00000000920	847
ENSGGOG00000000922	367
ENSGGOG00000000923	208
ENSGGOG00000000924	260
ENSGGOG00000000925	21
ENSGGOG00000000926	54
ENSGGOG00000000928	174
ENSGGOG00000000930	994
ENSGGOG00000000932	11
ENSGGOG00000000933	489
ENSGGOG00000000934	2795
ENSGGOG00000000935	13
ENSGGOG00000000937	187
ENSGGOG00000000938	635
ENSGGOG00000000939	7
ENSGGOG00000000940	1027
ENSGGOG00000000941	64
ENSGGOG00000000942	153
ENSGGOG00000000943	213
ENSGGOG00000000944	16
ENSGGOG00000000945	187
ENSGGOG00000000946	4455
ENSGGOG00000000947	160
ENSGGOG00000000948	762
ENSGGOG00000000949	2293
ENSGGOG00000000950	227
ENSGGOG00000000951	721
ENSGGOG00000000952	11
ENSGGOG00000000953	1195
ENSGGOG00000000954	357
ENSGGOG00000000955	225
ENSGGOG00000000956	7
ENSGGOG00000000957	70
ENSGGOG00000000958	679
ENSGGOG00000000959	15
ENSGGOG00000000960	1226
ENSGGOG00000000962	160
ENSGGOG00000000963	66
ENSGGOG00000000964	67
ENSGGOG00000000965	66
ENSGGOG00000000968	670
ENSGGOG00000000969	728
ENSGGOG00000000970	77
ENSGGOG00000000971	0
ENSGGOG00000000972	57
ENSGGOG00000000973	1080
ENSGGOG00000000974	1789
ENSGGOG00000000975	16
ENSGGOG00000000976	2373
ENSGGOG00000000977	1
ENSGGOG00000000978	567
ENSGGOG00000000979	225
ENSGGOG00000000980	0
ENSGGOG00000000981	5538
ENSGGOG00000000982	57
ENSGGOG00000000983	3277
ENSGGOG00000000984	0
ENSGGOG00000000985	259
ENSGGOG00000000986	1627
ENSGGOG00000000987	428
ENSGGOG00000000988	87
ENSGGOG00000000989	6
ENSGGOG00000000990	3
ENSGGOG00000000991	596
ENSGGOG00000000992	726
ENSGGOG00000000993	183
ENSGGOG00000000997	1194
ENSGGOG00000000998	196
ENSGGOG00000000999	6
ENSGGOG00000001000	278
ENSGGOG00000001004	428
ENSGGOG00000001005	288
ENSGGOG00000001007	371
ENSGGOG00000001008	1778
ENSGGOG00000001009	15
ENSGGOG00000001010	3936
ENSGGOG00000001011	259
ENSGGOG00000001012	1
ENSGGOG00000001013	39
ENSGGOG00000001014	777
ENSGGOG00000001015	3
ENSGGOG00000001017	598
ENSGGOG00000001018	337
ENSGGOG00000001019	20
ENSGGOG00000001021	4
ENSGGOG00000001022	30
ENSGGOG00000001023	58
ENSGGOG00000001024	1535
ENSGGOG00000001025	0
ENSGGOG00000001026	0
ENSGGOG00000001027	1305
ENSGGOG00000001028	303
ENSGGOG00000001029	108
ENSGGOG00000001030	991
ENSGGOG00000001032	100
ENSGGOG00000001033	191
ENSGGOG00000001034	201
ENSGGOG00000001035	13
ENSGGOG00000001036	423
ENSGGOG00000001037	406
ENSGGOG00000001038	295
ENSGGOG00000001039	474
ENSGGOG00000001040	248
ENSGGOG00000001042	35
ENSGGOG00000001044	171
ENSGGOG00000001045	552
ENSGGOG00000001046	0
ENSGGOG00000001047	0
ENSGGOG00000001048	0
ENSGGOG00000001049	766
ENSGGOG00000001050	238
ENSGGOG00000001052	2
ENSGGOG00000001053	891
ENSGGOG00000001054	212
ENSGGOG00000001055	0
ENSGGOG00000001057	802
ENSGGOG00000001058	123
ENSGGOG00000001059	7
ENSGGOG00000001060	467
ENSGGOG00000001061	792
ENSGGOG00000001063	935
ENSGGOG00000001064	174
ENSGGOG00000001065	1058
ENSGGOG00000001066	18
ENSGGOG00000001067	378
ENSGGOG00000001068	17
ENSGGOG00000001069	1
ENSGGOG00000001070	449
ENSGGOG00000001071	745
ENSGGOG00000001073	0
ENSGGOG00000001074	12
ENSGGOG00000001075	205
ENSGGOG00000001076	5
ENSGGOG00000001077	35
ENSGGOG00000001078	6
ENSGGOG00000001079	540
ENSGGOG00000001080	1
ENSGGOG00000001081	325
ENSGGOG00000001083	54
ENSGGOG00000001085	0
ENSGGOG00000001086	0
ENSGGOG00000001087	23
ENSGGOG00000001088	356
ENSGGOG00000001089	670
ENSGGOG00000001090	117
ENSGGOG00000001091	1507
ENSGGOG00000001093	225
ENSGGOG00000001095	191
ENSGGOG00000001096	0
ENSGGOG00000001097	151
ENSGGOG00000001098	12906
ENSGGOG00000001099	195
ENSGGOG00000001100	0
ENSGGOG00000001101	291
ENSGGOG00000001102	344
ENSGGOG00000001103	3
ENSGGOG00000001104	267
ENSGGOG00000001105	0
ENSGGOG00000001106	202
ENSGGOG00000001107	2035
ENSGGOG00000001108	177
ENSGGOG00000001109	96
ENSGGOG00000001110	631
ENSGGOG00000001112	32
ENSGGOG00000001114	421
ENSGGOG00000001115	100
ENSGGOG00000001116	17
ENSGGOG00000001117	128
ENSGGOG00000001118	26
ENSGGOG00000001119	239
ENSGGOG00000001120	532
ENSGGOG00000001121	53
ENSGGOG00000001123	139
ENSGGOG00000001124	156
ENSGGOG00000001125	0
ENSGGOG00000001126	56
ENSGGOG00000001127	99
ENSGGOG00000001129	821
ENSGGOG00000001130	18
ENSGGOG00000001131	27
ENSGGOG00000001132	490
ENSGGOG00000001133	26083
ENSGGOG00000001134	65
ENSGGOG00000001135	64
ENSGGOG00000001136	41
ENSGGOG00000001137	345
ENSGGOG00000001138	393
ENSGGOG00000001140	4236
ENSGGOG00000001141	360
ENSGGOG00000001142	1384
ENSGGOG00000001144	922
ENSGGOG00000001145	1
ENSGGOG00000001146	338
ENSGGOG00000001147	22
ENSGGOG00000001148	683
ENSGGOG00000001149	54
ENSGGOG00000001150	457
ENSGGOG00000001151	15
ENSGGOG00000001152	25
ENSGGOG00000001153	0
ENSGGOG00000001154	112
ENSGGOG00000001155	8
ENSGGOG00000001158	274
ENSGGOG00000001159	20
ENSGGOG00000001160	274
ENSGGOG00000001161	926
ENSGGOG00000001163	1009
ENSGGOG00000001164	766
