gene	WT1	WT2	WT3	DL1	DL2	DL3	E41	E42	E43	XG1	XG2	XG3
CCNA_01047	40	42	18	137	198	208	62	110	62	41	34	40
CCNA_01048	1	1	2	9	9	12	7	3	4	4	4	1
CCNA_03945	648	510	203	2125	2610	1536	194	305	230	882	454	370
CCNA_01049	38	39	23	226	270	214	32	41	41	100	77	57
CCNA_01050	12	14	5	45	59	71	18	43	25	20	5	11
CCNA_01051	21	44	13	110	137	204	56	76	53	67	29	40
CCNA_01052	11	9	6	57	29	60	19	30	13	19	8	10
CCNA_01053	13	19	7	53	80	81	28	35	26	26	18	17
CCNA_01054	20	35	14	123	176	261	73	119	88	57	21	33
CCNA_01055	19	19	12	100	129	202	53	96	58	44	21	30
CCNA_01056	20	37	13	218	278	354	105	189	128	80	28	34
CCNA_01057	56	72	35	325	355	513	157	275	177	109	65	68
CCNA_01058	70	35	28	124	162	142	32	37	27	46	44	31
CCNA_01059	4640	2295	3175	4423	5814	6713	1243	1937	1558	1892	2920	1959
CCNA_01060	71	56	36	138	200	210	52	113	71	86	40	71
CCNA_01061	21	22	19	54	71	91	22	41	32	25	13	21
CCNA_01062	10	10	11	37	39	59	15	24	21	12	9	22
CCNA_01063	1	4	6	21	13	22	10	21	5	6	3	6
CCNA_01064	14	14	8	51	64	68	17	35	26	15	11	14
CCNA_01065	5	15	4	30	51	49	9	29	24	13	8	8
CCNA_01066	20	10	1	40	39	55	15	26	21	23	9	15
CCNA_01067	51	36	56	96	127	131	57	66	50	48	44	31
CCNA_01068	12	16	4	48	55	69	19	31	25	20	13	9
CCNA_01069	17	15	15	75	84	107	11	56	35	21	20	21
CCNA_R0025	23	29	14	60	88	82	15	14	15	35	37	24
CCNA_R0131	9	8	3	33	51	47	3	8	7	24	18	14
CCNA_01070	23	14	6	57	66	101	20	35	24	20	19	14
CCNA_01071	22	27	28	99	132	160	44	72	37	56	22	43
CCNA_01072	2	6	2	12	17	23	14	8	5	5	8	3
CCNA_01073	24	19	20	102	102	122	30	76	39	32	23	20
CCNA_01074	10	7	3	29	45	36	13	38	11	16	6	7
CCNA_01075	62	59	58	219	290	274	83	166	122	119	46	66
CCNA_01076	129	133	137	318	442	441	124	223	173	153	101	131
